claim,required_reannotation,label,justification,claim_date,speaker,original_claim_url,fact_checking_article,reporting_source,location_ISO_code,claim_types,fact_checking_strategies,questions,cached_original_claim_url
The FBI is in possession of the president of the US's son  Hunter Biden's laptop.,FALSE,Supported,"It seems that the FBi is indeed in the possession of the laptop, therefore the claim is supported",22/10/20,,https://nypost.com/2020/10/14/email-reveals-how-hunter-biden-introduced-ukrainian-biz-man-to-dad/,https://web.archive.org/web/20210301201829/https://misbar.com/en/factcheck/2020/10/23/fbi-is-in-possession-of-hunter-biden%E2%80%99s-laptop,New York Post,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'Is the FBI In possession of Hunter Bidens Laptop?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20210304085240mp_/https://www.foxnews.com/politics/fbi-purported-hunter-biden-laptop-sources', 'source_medium': 'Web text', 'boolean_explanation': 'The FBI is in possession of the laptop purportedly belonging to Hunter Biden which contained emails revealing his foreign business dealings, including contacts in Ukraine and China, two senior administration officials told Fox News', 'cached_source_url': 'https://web.archive.org/web/20210304085240mp_/https://www.foxnews.com/politics/fbi-purported-hunter-biden-laptop-sources'}]}]",https://web.archive.org/web/20230326155045/https://nypost.com/2020/10/14/email-reveals-how-hunter-biden-introduced-ukrainian-biz-man-to-dad/
Scientific American magazine warned that 5G technology is not safe.,FALSE,Refuted,There is no convincing evidence that 5G technology is unsafe. ,20/10/20,Cassie B,https://www.naturalnews.com/2020-10-20-scientific-american-issues-warnings-dangers-of-5g.html,https://web.archive.org/web/20201227070832/https://leadstories.com/hoax-alert/2020/10/fact-check-scientific-american-did-not-warn-that-5g-is-not-safe-it-was-an-op-ed-written-by-a-guest-columnist.html,Natural News,US,['Event/Property Claim'],['Written Evidence'],"[{'question': 'Is 5G technology not safe ?', 'answers': [{'answer': 'The weight of scientific evidence has not linked exposure to radio frequency Energy from mobile devices with any known health problems. The Federal Communications Commission (FCC), in consultation with numerous other federal agencies, including the Environmental Protection Agency, the Food and Drug Administration, and the Occupational Safety and Health Administration, maintains safety standards.\n\nThe FCC explains that its standards “incorporate prudent margins of safety.” It explains further that “radio frequency emissions from antennas used for cellular and PCS transmissions result in exposure levels on the ground that are typically thousands of times below safety limits.” The FCC provides information about the safety of RF emissions from cellular base stations.\n\nThe World Health Organization (WHO) established an International Electromagnetic Fields Project (IEFP) to provide information on health risks, establish research needs and support efforts to harmonize RF exposure standards. The project website provides additional information on RF exposure and mobile phone use.', 'answer_type': 'Extractive', 'source_url': 'https://www.cityofsacramento.org/Smart-City/5G/Is-It-Safe', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324162830/https://www.cityofsacramento.org/Smart-City/5G/Is-It-Safe'}]}, {'question': 'How harmful is 5G technology ?', 'answers': [{'answer': ""There is no convincing reason – either in theory or according to hard evidence – that 5G technology, by design, could present novel risks to any living thing's health, human or otherwise.\n\nNevertheless, comparisons with weapons based on similar electromagnetic frequencies, apprehension over new technology, or the dangers of radiation mean some remain concerned.\n\nBased on reasonable assessments of research to date, regulatory bodies around the globe conclude the spectrum and intensity of radiation utilised by the technology fall well within safe standards"", 'answer_type': 'Extractive', 'source_url': 'https://www.sciencealert.com/5g-harm', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324162920/https://www.sciencealert.com/5g-harm'}]}]",https://web.archive.org/web/20230323155137/https://naturalnews.com/2020-10-20-scientific-american-issues-warnings-dangers-of-5g.html
A third of excess deaths in the United States between 1 March and  1 August 2020 during the COVID-19 pandemic could not be directly attributed to the coronavirus,FALSE,Supported,From the last answer it seems that the excess death was indeed 1 third. Therefore the claim is supported ,18/10/20,Michael Lee  Washington Examiner,https://web.archive.org/web/20210310055253/https://archive.is/EKPAJ,https://web.archive.org/web/20210310055253/https://healthfeedback.org/claimreview/the-percentage-of-excess-deaths-in-the-u-s-not-directly-caused-by-covid-19-range-from-14-to-33-it-remains-unclear-how-lockdowns-influenced-excess-mortality/,Journal of the American Medical Association (JAMA),US,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison']","[{'question': 'What were the total death figures for the U.S between 1st March and the 1st August 2020?', 'answers': [{'answer': 'Between March and August, 2020 the U.S. recorded 1,336,561 deaths,', 'answer_type': 'Extractive', 'source_url': 'https://archive.ph/EKPAJ#selection-1637.86-1637.186', 'source_medium': 'Web text', 'cached_source_url': 'https://archive.ph/EKPAJ#selection-1637.86-1637.186'}]}, {'question': 'How many of these deaths were attributed directly to coronavirus?', 'answers': [{'answer': '150,541 (67%) were attributed to COVID-19.”', 'answer_type': 'Extractive', 'source_url': 'https://archive.ph/EKPAJ#selection-1637.202-1637.275', 'source_medium': 'Web text', 'cached_source_url': 'https://archive.ph/EKPAJ#selection-1637.202-1637.275'}]}, {'question': ""How much of the total death figure is 'excess death'"", 'answers': [{'answer': ""225,530 were 'excess' deaths"", 'answer_type': 'Extractive', 'source_url': 'https://archive.ph/EKPAJ#selection-1637.209-1637.230', 'source_medium': 'Web text', 'cached_source_url': 'https://archive.ph/EKPAJ#selection-1637.209-1637.230'}]}, {'question': ""What are 'excess deaths'?"", 'answers': [{'answer': 'Excess mortality is a term used in epidemiology and public health that refers to the number of deaths that are occurring beyond what we would have normally expected.', 'answer_type': 'Extractive', 'source_url': 'https://www.samrc.ac.za/media-release/merits-and-benefits-studying-excess-deaths', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324174843/https://www.samrc.ac.za/media-release/merits-and-benefits-studying-excess-deaths'}]}, {'question': 'Of the 225,530 excess deaths recorded in the U.S, how many were from covid?', 'answers': [{'answer': '150,541 (67% or around 2 3rds of all excess deaths) were attributed to COVID-19.', 'answer_type': 'Extractive', 'source_url': 'https://archive.ph/EKPAJ#selection-1637.232-1637.274', 'source_medium': 'Web text', 'cached_source_url': 'https://archive.ph/EKPAJ#selection-1637.232-1637.274'}]}, {'question': 'Does that leave a  third of excess death for other causes?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://archive.ph/EKPAJ#selection-1637.232-1637.274', 'source_medium': 'Web text', 'boolean_explanation': '2 thirds attributed to covid leaves 1 third for all other causes of excess death.', 'cached_source_url': 'https://archive.ph/EKPAJ#selection-1637.232-1637.274'}]}]",https://web.archive.org/web/20210310055253/https://archive.is/EKPAJ
In the US lockdowns are partly responsible for excess deaths not directly attributed to COVID-19 which were observed in 2020.,TRUE,Not Enough Evidence,The Q&A's only mention excess death due to covid and so no data for other causes such as the claimed 'lockdowns' so more evidence is needed.,18/10/20,Michael Lee ,https://web.archive.org/web/20210310055253/https://archive.is/EKPAJ,https://web.archive.org/web/20210310055253/https://healthfeedback.org/claimreview/the-percentage-of-excess-deaths-in-the-u-s-not-directly-caused-by-covid-19-range-from-14-to-33-it-remains-unclear-how-lockdowns-influenced-excess-mortality/,Washington Examiner,US,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison']","[{'question': 'How is  lockdown partly responsible for excess deaths in the US ?', 'answers': [{'answer': 'As of October 15, 216,025 deaths from coronavirus disease 2019 (COVID-19) have been reported in the United States*; however, this number might underestimate the total impact of the pandemic on mortality. Measures of excess deaths have been used to estimate the impact of public health pandemics or disasters, particularly when there are questions about underascertainment of deaths directly attributable to a given event or cause (1–6).† Excess deaths are defined as the number of persons who have died from all causes, in excess of the expected number of deaths for a given place and time. This report describes trends and demographic patterns in excess deaths during January 26–October 3, 2020. Expected numbers of deaths were estimated using overdispersed Poisson regression models with spline terms to account for seasonal patterns, using provisional mortality data from CDC’s National Vital Statistics System (NVSS) (7). Weekly numbers of deaths by age group and race/ethnicity were assessed to examine the difference between the weekly number of deaths occurring in 2020 and the average number occurring in the same week during 2015–2019 and the percentage change in 2020. Overall, an estimated 299,028 excess deaths have occurred in the United States from late January through October 3, 2020, with two thirds of these attributed to COVID-19. The largest percentage increases were seen among adults aged 25–44 years and among Hispanic or Latino (Hispanic) persons. These results provide information about the degree to which COVID-19 deaths might be underascertained and inform efforts to prevent mortality directly or indirectly associated with the COVID-19 pandemic, such as efforts to minimize disruptions to health care.\n\nEstimates of excess deaths can provide a comprehensive account of mortality related to the COVID-19 pandemic, including deaths that are directly or indirectly attributable to COVID-19. Estimates of the numbers of deaths directly attributable to COVID-19 might be limi', 'answer_type': 'Extractive', 'source_url': 'https://www.cdc.gov/mmwr/volumes/69/wr/mm6942e2.htm', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324181251/https://www.cdc.gov/mmwr/volumes/69/wr/mm6942e2.htm'}]}, {'question': 'Why is  lockdown directly attributed to COVID-19 which were observed in 2020 ?', 'answers': [{'answer': 'Based on NVSS data, excess deaths have occurred every week in the United States since March 2020. An estimated 299,028 more persons than expected have died since January 26, 2020; approximately two thirds of these deaths were attributed to COVID-19. A recent analysis of excess deaths from March through July reported very similar findings, but that study did not include more recent data through September (5).\n\nAlthough more excess deaths have occurred among older age groups, relative to past years, adults aged 25–44 years have experienced the largest average percentage increase in the number of deaths from all causes from late January through October 3, 2020. The age distribution of COVID-19 deaths shifted toward younger age groups from May through August (9); however, these disproportionate increases might also be related to underlying trends in other causes of death. Future analyses might shed light on the extent to which increases among younger age groups are driven by COVID-19 or by other causes of death. Among racial and ethnic groups, the smallest average percentage increase in numbers of deaths compared with previous years occurred among White persons (11.9%) and the largest for Hispanic persons (53.6%), with intermediate increases (28.9%–36.6%) among AI/AN, Black, and Asian persons. These disproportionate increases among certain racial and ethnic groups are consistent with noted disparities in COVID-19 mortality.***\n\nThe findings in this report are subject to at least five limitations. First, the weighting of provisional NVSS mortality data might not fully account for reporting lags, particularly in recent weeks. Estimated numbers of deaths in the most recent weeks are likely underestimated and will increase as more data become available. Second, there is uncertainty associated with the models used to generate the expected numbers of deaths in a given week. A range of values for excess death estimates is provided elsewhere (7), but these ranges might not refl', 'answer_type': 'Extractive', 'source_url': 'https://www.cdc.gov/mmwr/volumes/69/wr/mm6942e2.htm', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324181251/https://www.cdc.gov/mmwr/volumes/69/wr/mm6942e2.htm'}]}, {'question': 'Do the studies used to make the claim include lockdowns relating to excessive deaths?', 'answers': [{'answer': 'they do not mention lockdown factors in the excessive deaths', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210310112506/https://jamanetwork.com/journals/jama/fullarticle/2771761', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210310112506/https://jamanetwork.com/journals/jama/fullarticle/2771761'}, {'answer': 'they do not mention lockdown factors in the excessive deaths', 'answer_type': 'Extractive', 'source_url': 'https://web.archive.org/web/20210309181157/https://www.cdc.gov/mmwr/volumes/69/wr/mm6942e2.htm', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210309181157/https://www.cdc.gov/mmwr/volumes/69/wr/mm6942e2.htm'}]}]",https://web.archive.org/web/20210310055253/https://archive.is/EKPAJ
"Pennsylvania US rejects 372,000 mail-in ballots.",FALSE,Refuted,It was applications that were rejected and not actual ballots.,17/10/20,The Blaze,https://web.archive.org/web/20210609133131/https://gellerreport.com/2020/10/pennsylvania-rejects-372000-mail-in-ballots-leaving-many-voters-confused-report.html/,"https://web.archive.org/web/20210609133131/https://leadstories.com/hoax-alert/2020/10/fact-check-pennsylvania-did-not-destroy-372,000-ballots-they-were-ballot-applications.html",The Geller Report,US,"['Numerical Claim', 'Event/Property Claim']","['Written Evidence', 'Numerical Comparison']","[{'question': 'Did PA actually reject Mail in ballots?', 'answers': [{'answer': 'No', 'answer_type': 'Boolean', 'source_url': 'https://www.inquirer.com/politics/election/pennsylvania-mail-ballot-rejections-duplicate-applications-20201016.html', 'source_medium': 'Web text', 'boolean_explanation': 'Pa. has rejected 372,000 ballot applications — most of them duplicates, not actual ballots', 'cached_source_url': 'https://web.archive.org/web/20230324181435/https://www.inquirer.com/politics/election/pennsylvania-mail-ballot-rejections-duplicate-applications-20201016.html'}]}]",https://web.archive.org/web/20210609133131/https://gellerreport.com/2020/10/pennsylvania-rejects-372000-mail-in-ballots-leaving-many-voters-confused-report.html/
"The Tanishq jewellery store in Gandhidham,  Gujarat, India was attacked following a negative reaction to an advertisement.",TRUE,Conflicting Evidence/Cherrypicking,"they weren't attacker, per se, but were threatened and forced to make an apology",14/10/20,Swati Bhasin,https://web.archive.org/web/20201014140944/https://c.ndtvimg.com/2020-10/hia6h2t_tanishq-ad_625x300_13_October_20.jpg,https://web.archive.org/web/20210708085205/https://www.altnews.in/tanishq-gandhidham-store-wasnt-attacked-staff-threatened-to-put-an-apology/,NDTV,IN,['Event/Property Claim'],['Written Evidence'],"[{'question': 'What was in the advertisement that people werent happy with?', 'answers': [{'answer': 'The advert showed an interfaith couple.', 'answer_type': 'Abstractive', 'source_url': 'Metadata', 'source_medium': 'Metadata', 'cached_source_url': 'Metadata'}]}, {'question': 'Was the store attacked?', 'answers': [{'answer': 'No ""attack"" as such took place however staff members were threatened and requested to apologise for the advertisement resulting in an apology note being displayed at the store.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210524224630/https://www.ndtv.com/india-news/threats-made-at-tanishq-store-in-gujarat-police-patrolling-area-cops-2309886', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210524224630/https://www.ndtv.com/india-news/threats-made-at-tanishq-store-in-gujarat-police-patrolling-area-cops-2309886'}]}, {'question': 'How many people entered the store?', 'answers': [{'answer': '2 people, and they forced the staff to put out an apology', 'answer_type': 'Extractive', 'source_url': 'https://twitter.com/vimoh/status/1316447085210734592', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324192531/https://twitter.com/vimoh/status/1316447085210734592'}]}]",https://web.archive.org/web/20201014140944/https://c.ndtvimg.com/2020-10/hia6h2t_tanishq-ad_625x300_13_October_20.jpg
Daughters of President Muhammadu Buhari and Vice President Yemi Osinbajo brought about the dissolution of Special Anti-Robbery Squad (SARS).,FALSE,Refuted,president of Nigeria Muhammadu Buhari dissolved the notorious Special Anti-Robbery Squad (SARS) - no mention on his daughter or Vice President Yemi Osinbajo daughter.,12/10/20,,https://web.archive.org/web/20201101095614/https://authorityngr.com/2020/10/12/how-buhari-osinbajos-daughters-brought-sars-down/,https://web.archive.org/web/20201101141912/https://dubawa.org/misleading-newspaper-report-claims-daughters-of-buhari-osinbajo-facilitated-dissolution-of-sars/,Authority Newspaper,NG,['Event/Property Claim'],"['Written Evidence', 'Consultation']","[{'question': 'Who dissolved the notorious Special Anti-Robbery Squad (SARS) in Nigeria?', 'answers': [{'answer': 'executive order (from president of Nigeria Muhammadu Buhari)', 'answer_type': 'Abstractive', 'source_url': 'https://www.bbc.com/pidgin/tori-54501013', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20230324195452/https://www.bbc.com/pidgin/tori-54501013'}]}]",https://web.archive.org/web/20201101095614/https://authorityngr.com/2020/10/12/how-buhari-osinbajos-daughters-brought-sars-down/
More people who wear masks become sick with COVID-19 compared to non-mask wearers,FALSE,Conflicting Evidence/Cherrypicking,The claim is cherry picking as only 11 people in the test never wore a mask and as there were 314 participants it is likely that there would be more than 11 people to contract covid. The test would need to be a 50/50 split to give the claim support.,12/10/20,Jordan Davidson,https://thefederalist.com/2020/10/12/cdc-study-finds-overwhelming-majority-of-people-getting-coronavirus-wore-masks/,https://web.archive.org/web/20210712155847/https://healthfeedback.org/claimreview/mask-use-does-not-lead-to-a-higher-risk-of-covid-19-as-viral-social-media-posts-claim/,thefederalist.com,,"['Causal Claim', 'Numerical Claim']","['Written Evidence', 'Numerical Comparison']","[{'question': ""In the study, which prompted the claim that more people who wear masks become infected with the COVID-19 virus than people who don't, how many participants were there?"", 'answers': [{'answer': 'There were 314 participants in the study. 154 had tested positive for COVID-19 (case-patients), while 160 had tested negative for COVID-19 (control participants).', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210712155847im_/https://healthfeedback.org/wp-content/uploads/2020/10/fisher-et-al_cdc-_table-1.png', 'source_medium': 'Image/graphic', 'cached_source_url': 'https://web.archive.org/web/20210712155847im_/https://healthfeedback.org/wp-content/uploads/2020/10/fisher-et-al_cdc-_table-1.png'}]}, {'question': 'How many people in the survey reported to have never used a mask?', 'answers': [{'answer': '11 People reported never wearing a mask.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210712155847im_/https://healthfeedback.org/wp-content/uploads/2020/10/fisher-et-al_cdc-_table-1.png', 'source_medium': 'Image/graphic', 'cached_source_url': 'https://web.archive.org/web/20210712155847im_/https://healthfeedback.org/wp-content/uploads/2020/10/fisher-et-al_cdc-_table-1.png'}]}, {'question': 'How many people in the survey reported to have aways used a mask?', 'answers': [{'answer': '216 People reported always wearing a mask.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210712155847im_/https://healthfeedback.org/wp-content/uploads/2020/10/fisher-et-al_cdc-_table-1.png', 'source_medium': 'Image/graphic', 'cached_source_url': 'https://web.archive.org/web/20210712155847im_/https://healthfeedback.org/wp-content/uploads/2020/10/fisher-et-al_cdc-_table-1.png'}]}]",https://web.archive.org/web/20230327141729/https://thefederalist.com/2020/10/12/cdc-study-finds-overwhelming-majority-of-people-getting-coronavirus-wore-masks/
No one lost their health care because of the Wellmark and Iowa Farm Bureau Health Plan Bill.,FALSE,Not Enough Evidence,"The answer shows the complaints made, however there's no evidence as to whether someone lost their health care or not.",8/10/20,Rita Hart,https://www.kcrg.com/2020/10/08/hart-and-miller-meeks-to-debate-tonight/,https://web.archive.org/web/20210227072421/https://www.thegazette.com/factchecker/fact-checker-rita-harts-mask-claim-falls-short-20201026,KCRG,US,['Causal Claim'],"['Written Evidence', 'Consultation']","[{'question': 'Has anyone lost their health care because of the Wellmark and Iowa Farm Bureau Health Plan Bill?', 'answers': [{'answer': 'No answer could be found.', 'answer_type': 'Unanswerable', 'source_url': '', 'source_medium': ''}]}, {'question': 'Have complaints been made due to the Wellmark and Iowa Farm Bureau Health Plan Bill?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20201103105722/https://www.bbb.org/us/ia/west-des-moines/profile/insurance-services-office/farm-bureau-financial-services-0664-101127/complaints', 'source_medium': 'Web text', 'boolean_explanation': ""There is at least 1 anonymous complaint (not verified) of the Farm Bureau threatening to revoke the person's health insurance due to undisclosed preexisting conditions."", 'cached_source_url': 'https://web.archive.org/web/20201103105722/https://www.bbb.org/us/ia/west-des-moines/profile/insurance-services-office/farm-bureau-financial-services-0664-101127/complaints'}]}]",https://web.archive.org/web/20230329151110/https://www.kcrg.com/2020/10/08/hart-and-miller-meeks-to-debate-tonight/
People in the UK who are required to self-isolate due to having tested positive for the COVID-19 virus will receive a support payment of £500 per week,FALSE,Refuted,The answers show that the £500 was not a weekly amount but a lump sum so the claim is refuted.,5/10/20,"The UK Prime Minister, Boris Johnson",https://web.archive.org/web/20201020221638/https://youtu.be/bf8legcKDII?t=65,https://web.archive.org/web/20201020221638/https://fullfact.org/health/boris-johnson-quarantine-500/,Sky News,GB,"['Numerical Claim', 'Event/Property Claim']",['Written Evidence'],"[{'question': 'What is the date of the claim?', 'answers': [{'answer': '5th October 2020', 'answer_type': 'Extractive', 'source_url': 'Metadata', 'source_medium': 'Metadata', 'cached_source_url': 'Metadata'}]}, {'question': 'Were people in the UK required to self-isolate due to having tested positive for the COVID-19 virus in 2020?', 'answers': [{'answer': 'Yes', 'answer_type': 'Boolean', 'source_url': 'https://www.legislation.gov.uk/uksi/2020/1045/made', 'source_medium': 'Web text', 'boolean_explanation': 'People in the UK were required by law to self isolate if infected with covid 19 during the start of the 2020 covid pandemic.', 'cached_source_url': 'https://web.archive.org/web/20230403113407/https://www.legislation.gov.uk/uksi/2020/1045/made'}]}, {'question': 'Were People in the UK who were required to self-isolate due to having tested positive for the COVID-19 virus in 2020  entitled to receive a support payment of £500 per week?', 'answers': [{'answer': 'No', 'answer_type': 'Boolean', 'source_url': 'https://web.archive.org/web/20201102132407/https://www.gov.uk/government/publications/exemption-from-national-insurance-contributions-for-covid-19-test-and-trace-support-payments', 'source_medium': 'Web text', 'boolean_explanation': 'The £500 payment was  described as a “lump sum payment” not a weekly payment by HM Revenue and Customs.', 'cached_source_url': 'https://web.archive.org/web/20201102132407/https://www.gov.uk/government/publications/exemption-from-national-insurance-contributions-for-covid-19-test-and-trace-support-payments'}]}]",https://web.archive.org/web/20201020221638/https://youtu.be/bf8legcKDII?t=65
President Trump is not on supplemental oxygen.,FALSE,Refuted,Trumps Doctor says he received supplemental oxygen when infected with Covid-19,3/10/20,Dr.Sean Dooley,https://www.rev.com/blog/transcripts/dr-conley-donald-trumps-doctor-press-conference-transcript-from-walter-reed-on-trumps-condition-october-3,https://web.archive.org/web/20210711055128/https://www.factcheck.org/2020/10/timeline-of-contradictory-statements-on-trumps-health/,Rev,US,['Event/Property Claim'],"['Written Evidence', 'Consultation']","[{'question': 'Why would President Trump be on supplemental oxygen?', 'answers': [{'answer': 'Because he tested positive for COVID-19.', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210605224745/https://twitter.com/JuddPDeere45/status/1311895390086729728', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210605224745/https://twitter.com/JuddPDeere45/status/1311895390086729728'}]}, {'question': 'During his illness with COVID-19, did President Trump require supplemental oxygen?', 'answers': [{'answer': 'Trumps doctor says he received supplemental oxygen', 'answer_type': 'Abstractive', 'source_url': 'https://web.archive.org/web/20210507080909/https://www.msnbc.com/am-joy/watch/trump-s-doctor-says-he-received-supplemental-oxygen-for-covid-19-93114949748', 'source_medium': 'Web text', 'cached_source_url': 'https://web.archive.org/web/20210507080909/https://www.msnbc.com/am-joy/watch/trump-s-doctor-says-he-received-supplemental-oxygen-for-covid-19-93114949748'}]}]",https://web.archive.org/web/20230403115658/https://www.rev.com/blog/transcripts/dr-conley-donald-trumps-doctor-press-conference-transcript-from-walter-reed-on-trumps-condition-october-3
